,요일,피해운전자 성별,연령대,주간야간,가을,겨울,봄,여름,교차로 ,기타 ,단일로 ,미분류 ,주차장 ,기타,승용,승합,이륜,특수차,피해운전자 상해정도
226,1,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
227,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,사망
228,1,0.0,50,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
229,1,0.0,50,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
230,0,0.0,50,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
231,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
232,0,0.0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,경상
233,1,0.0,20,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
234,1,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
235,0,1.0,70,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,중상
236,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
237,1,0.0,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
238,0,0.0,20,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,중상
239,0,1.0,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
240,0,0.0,40,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,경상
241,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
242,0,0.0,30,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
243,0,0.0,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,사망
244,0,1.0,60,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,사망
245,1,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,부상신고
246,0,1.0,60,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
247,1,0.0,50,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
248,0,0.0,50,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
249,0,0.0,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
250,0,1.0,80,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
251,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
252,0,1.0,40,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,중상
253,1,0.0,50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
254,0,0.0,70,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,경상
255,0,1.0,40,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,중상
256,0,0.0,60,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
257,1,1.0,70,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
258,0,0.0,50,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
259,1,0.0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,경상
260,0,1.0,40,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
261,0,1.0,50,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,중상
262,1,0.0,50,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
263,0,1.0,40,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,경상
264,0,0.0,40,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,중상
265,1,0.0,30,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
266,0,0.0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,중상
267,0,0.0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,부상신고
268,1,0.0,10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
269,0,1.0,70,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
270,1,1.0,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
271,0,1.0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,중상
272,0,1.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
273,1,0.0,70,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,사망
274,0,0.0,30,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
275,0,0.0,30,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
276,0,1.0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,중상
277,1,1.0,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
278,0,1.0,10,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
279,0,0.0,20,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,경상
280,0,0.0,30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
281,0,1.0,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
282,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,사망
283,1,1.0,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
284,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
285,0,0.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
286,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
287,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
288,1,0.0,20,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,중상
289,0,0.0,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,중상
290,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,중상
291,1,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
292,0,0.0,50,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
293,0,0.0,20,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,중상
294,1,1.0,80,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
295,1,0.0,20,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
296,0,1.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
297,0,0.0,30,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,경상
298,0,0.0,50,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,사망
299,0,1.0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
300,0,1.0,60,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
301,1,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
302,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
303,0,1.0,80,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
304,0,0.0,40,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,중상
305,0,0.0,10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,경상
306,1,0.0,40,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,중상
307,0,1.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
308,0,0.0,40,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
309,0,0.0,20,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,중상
310,1,0.0,30,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
311,0,1.0,60,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
312,0,1.0,40,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,중상
313,0,0.0,20,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,중상
314,1,1.0,40,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,경상
315,0,0.0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,경상
